Service Year,OMH Region Code,OMH Region Label,County Label,Age Group,Rate Code Group,Medicaid Enrollee Count by County,Count of Recipients by Rate Code Group and County,Units Total,Paid Claim Total
2016,3,Hudson River,Sullivan,Adult,MH Emergency,12660,414,663,89797
2016,3,Hudson River,Sullivan,Adult,OMH Licensed Clinic Treatment,12660,710,4342,603462
2016,3,Hudson River,Sullivan,Adult,Personalized Recovery Oriented Services,12660,123,732,550428
2016,3,Hudson River,Sullivan,Adult,Psych Inpatient 28,12660,219,3465,2300908
2016,3,Hudson River,Sullivan,Adult,Psych Inpatient 31,12660,0,0,0
2016,3,Hudson River,Sullivan,Adult,"Targeted Case Management (ICM, BCM, SCM)",12660,24,44,44704
2016,3,Hudson River,Sullivan,Child,Community Residence,10374,0,0,0
2016,3,Hudson River,Sullivan,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",10374,0,0,0
2016,3,Hudson River,Sullivan,Child,Home and Community Based Services Waiver (HCBS),10374,0,0,0
2016,3,Hudson River,Sullivan,Child,MH Emergency,10374,182,298,53118
2016,3,Hudson River,Sullivan,Child,OMH Children's Day Treatment,10374,34,1064,268799
2016,3,Hudson River,Sullivan,Child,OMH Licensed Clinic Treatment,10374,322,2216,363075
2016,3,Hudson River,Sullivan,Child,Partial Hospitalization,10374,0,0,0
2016,3,Hudson River,Sullivan,Child,Psych Inpatient 28,10374,32,296,456630
2016,3,Hudson River,Sullivan,Child,Psych Inpatient 31,10374,30,636,506171
2016,3,Hudson River,Sullivan,Child,Psych Inpatient SPC,10374,0,0,0
2016,3,Hudson River,Sullivan,Child,"Targeted Case Management (ICM, BCM, SCM)",10374,24,114,87818
2016,3,Hudson River,Sullivan,Senior,Community Residence,2209,0,0,0
2016,3,Hudson River,Sullivan,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",2209,0,0,0
2016,3,Hudson River,Sullivan,Senior,MH Emergency,2209,25,52,1578
2016,3,Hudson River,Sullivan,Senior,OMH Licensed Clinic Treatment,2209,0,0,0
2016,3,Hudson River,Sullivan,Senior,Personalized Recovery Oriented Services,2209,0,0,0
2016,3,Hudson River,Sullivan,Senior,Psych Inpatient 28,2209,0,0,0
2016,3,Hudson River,Sullivan,Senior,Psych Inpatient 31,2209,0,0,0
2016,3,Hudson River,Sullivan,Senior,Psych Inpatient SPC,2209,0,0,0
2016,3,Hudson River,Sullivan,Senior,"Targeted Case Management (ICM, BCM, SCM)",2209,0,0,0
2016,3,Hudson River,Ulster,Adult,Assertive Community Treatment,22977,63,553,724625
2016,3,Hudson River,Ulster,Adult,Community Residence,22977,120,1052,2929413
2016,3,Hudson River,Ulster,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",22977,0,0,0
2016,3,Hudson River,Ulster,Adult,MH Emergency,22977,949,1782,288707
2016,3,Hudson River,Ulster,Adult,OMH Licensed Clinic Treatment,22977,3306,26570,2976668
2016,3,Hudson River,Ulster,Adult,Partial Hospitalization,22977,64,999,149687
2016,3,Hudson River,Ulster,Adult,Personalized Recovery Oriented Services,22977,158,928,686848
2016,3,Hudson River,Ulster,Adult,Psych Inpatient 28,22977,396,5981,3613272
2016,3,Hudson River,Ulster,Adult,Psych Inpatient 31,22977,0,0,0
2016,3,Hudson River,Ulster,Adult,"Targeted Case Management (ICM, BCM, SCM)",22977,0,0,0
2016,3,Hudson River,Ulster,Child,Community Residence,14254,0,0,0
2016,3,Hudson River,Ulster,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",14254,0,0,0
2016,3,Hudson River,Ulster,Child,Home and Community Based Services Waiver (HCBS),14254,49,265,652535
2016,3,Hudson River,Ulster,Child,MH Emergency,14254,311,509,99538
2016,3,Hudson River,Ulster,Child,OMH Children's Day Treatment,14254,60,5821,1215918
2016,3,Hudson River,Ulster,Child,OMH Licensed Clinic Treatment,14254,1217,10112,1289992
2016,3,Hudson River,Ulster,Child,Partial Hospitalization,14254,75,1026,157649
2016,3,Hudson River,Ulster,Child,Psych Inpatient 28,14254,58,689,838065
2016,3,Hudson River,Ulster,Child,Psych Inpatient 31,14254,67,1314,1038838
2016,3,Hudson River,Ulster,Child,Psych Inpatient SPC,14254,0,0,0
2016,3,Hudson River,Ulster,Child,Residential Treatment Facility,14254,0,0,0
2016,3,Hudson River,Ulster,Child,"Targeted Case Management (ICM, BCM, SCM)",14254,44,183,86760
2016,3,Hudson River,Ulster,Senior,Assertive Community Treatment,4318,0,0,0
2016,3,Hudson River,Ulster,Senior,Community Residence,4318,0,0,0
2016,3,Hudson River,Ulster,Senior,MH Emergency,4318,67,92,4170
2016,3,Hudson River,Ulster,Senior,OMH Licensed Clinic Treatment,4318,142,1152,110905
2016,3,Hudson River,Ulster,Senior,Partial Hospitalization,4318,0,0,0
2016,3,Hudson River,Ulster,Senior,Personalized Recovery Oriented Services,4318,0,0,0
2016,3,Hudson River,Ulster,Senior,Psych Inpatient 28,4318,0,0,0
2016,3,Hudson River,Ulster,Senior,Psych Inpatient 31,4318,0,0,0
2016,3,Hudson River,Ulster,Senior,Psych Inpatient SPC,4318,0,0,0
2016,3,Hudson River,Warren,Adult,Community Residence,8047,45,320,746444
2016,3,Hudson River,Warren,Adult,Continuing Day Treatment,8047,25,1577,70498
2016,3,Hudson River,Warren,Adult,MH Emergency,8047,312,529,65097
2016,3,Hudson River,Warren,Adult,OMH Licensed Clinic Treatment,8047,581,5391,585397
2016,3,Hudson River,Warren,Adult,Partial Hospitalization,8047,0,0,0
2016,3,Hudson River,Warren,Adult,Personalized Recovery Oriented Services,8047,0,0,0
2016,3,Hudson River,Warren,Adult,Psych Inpatient 28,8047,189,1444,792245
2016,3,Hudson River,Warren,Adult,Psych Inpatient 31,8047,0,0,0
2016,3,Hudson River,Warren,Adult,"Targeted Case Management (ICM, BCM, SCM)",8047,21,172,174752
2016,3,Hudson River,Warren,Child,Community Residence,4958,0,0,0
2016,3,Hudson River,Warren,Child,Home and Community Based Services Waiver (HCBS),4958,0,0,0
2016,3,Hudson River,Warren,Child,MH Emergency,4958,152,224,36010
2016,3,Hudson River,Warren,Child,OMH Children's Day Treatment,4958,0,0,0
2016,3,Hudson River,Warren,Child,OMH Licensed Clinic Treatment,4958,318,3996,510617
2016,3,Hudson River,Warren,Child,Partial Hospitalization,4958,0,0,0
2016,3,Hudson River,Warren,Child,Psych Inpatient 28,4958,60,261,236815
2016,3,Hudson River,Warren,Child,Psych Inpatient 31,4958,60,1157,988468
2016,3,Hudson River,Warren,Child,Psych Inpatient SPC,4958,0,0,0
2016,3,Hudson River,Warren,Child,"Targeted Case Management (ICM, BCM, SCM)",4958,27,157,108899
2016,3,Hudson River,Warren,Senior,Community Residence,1485,0,0,0
2016,3,Hudson River,Warren,Senior,Continuing Day Treatment,1485,0,0,0
2016,3,Hudson River,Warren,Senior,MH Emergency,1485,0,0,0
2016,3,Hudson River,Warren,Senior,OMH Licensed Clinic Treatment,1485,0,0,0
2016,3,Hudson River,Warren,Senior,Partial Hospitalization,1485,0,0,0
2016,3,Hudson River,Warren,Senior,Psych Inpatient 28,1485,0,0,0
2016,3,Hudson River,Warren,Senior,Psych Inpatient 31,1485,0,0,0
2016,3,Hudson River,Warren,Senior,Psych Inpatient SPC,1485,0,0,0
2016,3,Hudson River,Washington,Adult,Assertive Community Treatment,8129,0,0,0
2016,3,Hudson River,Washington,Adult,Community Residence,8129,31,254,592869
2016,3,Hudson River,Washington,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",8129,0,0,0
2016,3,Hudson River,Washington,Adult,Continuing Day Treatment,8129,24,2028,96454
2016,3,Hudson River,Washington,Adult,MH Emergency,8129,257,379,54196
2016,3,Hudson River,Washington,Adult,OMH Licensed Clinic Treatment,8129,642,6063,694672
2016,3,Hudson River,Washington,Adult,Partial Hospitalization,8129,0,0,0
2016,3,Hudson River,Washington,Adult,Personalized Recovery Oriented Services,8129,0,0,0
2016,3,Hudson River,Washington,Adult,Psych Inpatient 28,8129,155,1248,745898
2016,3,Hudson River,Washington,Adult,Psych Inpatient 31,8129,0,0,0
2016,3,Hudson River,Washington,Adult,"Targeted Case Management (ICM, BCM, SCM)",8129,0,0,0
2016,3,Hudson River,Washington,Child,Community Residence,6037,0,0,0
2016,3,Hudson River,Washington,Child,Home and Community Based Services Waiver (HCBS),6037,0,0,0
2016,3,Hudson River,Washington,Child,MH Emergency,6037,167,227,42582
2016,3,Hudson River,Washington,Child,OMH Children's Day Treatment,6037,0,0,0
2016,3,Hudson River,Washington,Child,OMH Licensed Clinic Treatment,6037,406,4108,577169
2016,3,Hudson River,Washington,Child,Partial Hospitalization,6037,0,0,0
2016,3,Hudson River,Washington,Child,Psych Inpatient 28,6037,51,238,204629
2016,3,Hudson River,Washington,Child,Psych Inpatient 31,6037,56,819,731858
2016,3,Hudson River,Washington,Child,Psych Inpatient SPC,6037,0,0,0
2016,3,Hudson River,Washington,Child,"Targeted Case Management (ICM, BCM, SCM)",6037,26,158,95821
2016,3,Hudson River,Washington,Senior,Continuing Day Treatment,1415,0,0,0
2016,3,Hudson River,Washington,Senior,MH Emergency,1415,0,0,0
2016,3,Hudson River,Washington,Senior,OMH Licensed Clinic Treatment,1415,0,0,0
2016,3,Hudson River,Washington,Senior,Psych Inpatient 28,1415,0,0,0
2016,3,Hudson River,Westchester,Adult,Assertive Community Treatment,100981,262,1838,2474766
2016,3,Hudson River,Westchester,Adult,Community Residence,100981,318,2865,8102812
2016,3,Hudson River,Westchester,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",100981,0,0,0
2016,3,Hudson River,Westchester,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",100981,84,125,73605
2016,3,Hudson River,Westchester,Adult,Continuing Day Treatment,100981,36,3981,137075
2016,3,Hudson River,Westchester,Adult,MH Emergency,100981,2885,5246,862914
2016,3,Hudson River,Westchester,Adult,OMH Licensed Clinic Treatment,100981,8929,124977,14731962
2016,3,Hudson River,Westchester,Adult,Partial Hospitalization,100981,310,2521,321090
2016,3,Hudson River,Westchester,Adult,Personalized Recovery Oriented Services,100981,493,3103,2837920
2016,3,Hudson River,Westchester,Adult,Psych Inpatient 28,100981,1707,44209,31855891
2016,3,Hudson River,Westchester,Adult,Psych Inpatient 31,100981,23,357,221637
2016,3,Hudson River,Westchester,Adult,"Targeted Case Management (ICM, BCM, SCM)",100981,24,193,196088
2016,3,Hudson River,Westchester,Child,Community Residence,79529,36,194,2029158
2016,3,Hudson River,Westchester,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",79529,0,0,0
2016,3,Hudson River,Westchester,Child,Home and Community Based Services Waiver (HCBS),79529,88,538,1381914
2016,3,Hudson River,Westchester,Child,MH Emergency,79529,922,1326,256328
2016,3,Hudson River,Westchester,Child,OMH Children's Day Treatment,79529,192,16527,3566746
2016,3,Hudson River,Westchester,Child,OMH Licensed Clinic Treatment,79529,4848,67112,9613856
2016,3,Hudson River,Westchester,Child,Partial Hospitalization,79529,145,1548,264189
2016,3,Hudson River,Westchester,Child,Psych Inpatient 28,79529,417,5747,7749620
2016,3,Hudson River,Westchester,Child,Psych Inpatient 31,79529,171,2865,2261888
2016,3,Hudson River,Westchester,Child,Psych Inpatient SPC,79529,0,0,0
2016,3,Hudson River,Westchester,Child,Residential Treatment Facility,79529,0,0,0
2016,3,Hudson River,Westchester,Child,"Targeted Case Management (ICM, BCM, SCM)",79529,85,482,330811
2016,3,Hudson River,Westchester,Senior,Assertive Community Treatment,23702,27,222,314864
2016,3,Hudson River,Westchester,Senior,Community Residence,23702,0,0,0
2016,3,Hudson River,Westchester,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",23702,0,0,0
2016,3,Hudson River,Westchester,Senior,Continuing Day Treatment,23702,0,0,0
2016,3,Hudson River,Westchester,Senior,MH Emergency,23702,218,345,15751
2016,3,Hudson River,Westchester,Senior,OMH Licensed Clinic Treatment,23702,713,11733,920638
2016,3,Hudson River,Westchester,Senior,Partial Hospitalization,23702,0,0,0
2016,3,Hudson River,Westchester,Senior,Personalized Recovery Oriented Services,23702,0,0,0
2016,3,Hudson River,Westchester,Senior,Psych Inpatient 28,23702,133,4027,1105927
2016,3,Hudson River,Westchester,Senior,Psych Inpatient 31,23702,0,0,0
2016,3,Hudson River,Westchester,Senior,Psych Inpatient SPC,23702,0,0,0
2016,4,New York City,Bronx,Adult,Assertive Community Treatment,397806,600,4495,5820633
2016,4,New York City,Bronx,Adult,Community Residence,397806,654,5450,15628439
2016,4,New York City,Bronx,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",397806,185,975,629816
2016,4,New York City,Bronx,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",397806,3292,5326,3280242
2016,4,New York City,Bronx,Adult,Continuing Day Treatment,397806,352,36615,1824468
2016,4,New York City,Bronx,Adult,Intensive Psychiatric Rehabilitation Treatment,397806,0,0,0
2016,4,New York City,Bronx,Adult,MH Emergency,397806,10282,18693,2987744
2016,4,New York City,Bronx,Adult,OMH Licensed Clinic Treatment,397806,44789,457958,57886320
2016,4,New York City,Bronx,Adult,Partial Hospitalization,397806,80,892,114050
2016,4,New York City,Bronx,Adult,Personalized Recovery Oriented Services,397806,1109,7655,6477764
2016,4,New York City,Bronx,Adult,Psych Inpatient 28,397806,5671,114276,92055322
2016,4,New York City,Bronx,Adult,Psych Inpatient 31,397806,455,8130,5974302
2016,4,New York City,Bronx,Adult,"Targeted Case Management (ICM, BCM, SCM)",397806,206,1734,1757709
2016,4,New York City,Bronx,Child,Community Residence,336564,60,287,3148991
2016,4,New York City,Bronx,Child,"Comprehensive Psychiatric Emergency Program
 EOB",336564,24,172,103088
2016,4,New York City,Bronx,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",336564,1249,1832,1151497
2016,4,New York City,Bronx,Child,Family Based Treatment/Teaching Family Home,336564,0,0,0
2016,4,New York City,Bronx,Child,Home and Community Based Services Waiver (HCBS),336564,338,1942,5307574
2016,4,New York City,Bronx,Child,MH Emergency,336564,4728,7354,1299665
2016,4,New York City,Bronx,Child,OMH Children's Day Treatment,336564,499,45721,6424911
2016,4,New York City,Bronx,Child,OMH Licensed Clinic Treatment,336564,26585,259219,36145174
2016,4,New York City,Bronx,Child,Partial Hospitalization,336564,47,886,141446
2016,4,New York City,Bronx,Child,Psych Inpatient 28,336564,1243,20852,19786127
2016,4,New York City,Bronx,Child,Psych Inpatient 31,336564,731,15073,11976258
2016,4,New York City,Bronx,Child,Psych Inpatient SPC,336564,31,3654,5613739
2016,4,New York City,Bronx,Child,Residential Treatment Facility,336564,51,7462,3754386
2016,4,New York City,Bronx,Child,"Targeted Case Management (ICM, BCM, SCM)",336564,515,3357,2146845
2016,4,New York City,Bronx,Senior,Assertive Community Treatment,83584,45,340,451757
2016,4,New York City,Bronx,Senior,Community Residence,83584,30,217,640316
2016,4,New York City,Bronx,Senior,"Comprehensive Psychiatric Emergency Program
 EOB",83584,0,0,0
2016,4,New York City,Bronx,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",83584,124,174,48482
2016,4,New York City,Bronx,Senior,Continuing Day Treatment,83584,38,4102,204855
2016,4,New York City,Bronx,Senior,MH Emergency,83584,786,1058,72277
2016,4,New York City,Bronx,Senior,OMH Licensed Clinic Treatment,83584,3776,31096,2460967
2016,4,New York City,Bronx,Senior,Partial Hospitalization,83584,0,0,0
2016,4,New York City,Bronx,Senior,Personalized Recovery Oriented Services,83584,52,366,353652
2016,4,New York City,Bronx,Senior,Psych Inpatient 28,83584,679,11213,3563915
2016,4,New York City,Bronx,Senior,Psych Inpatient 31,83584,25,498,97469
2016,4,New York City,Bronx,Senior,Psych Inpatient SPC,83584,0,0,0
2016,4,New York City,Bronx,Senior,"Targeted Case Management (ICM, BCM, SCM)",83584,0,0,0
2016,4,New York City,Kings,Adult,Assertive Community Treatment,575532,678,5326,6692504
2016,4,New York City,Kings,Adult,Community Residence,575532,709,5998,17528293
2016,4,New York City,Kings,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",575532,385,3822,2566580
2016,4,New York City,Kings,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",575532,3281,5753,3646429
2016,4,New York City,Kings,Adult,Continuing Day Treatment,575532,335,35303,2032445
2016,4,New York City,Kings,Adult,Intensive Psychiatric Rehabilitation Treatment,575532,33,1630,90622
2016,4,New York City,Kings,Adult,MH Emergency,575532,10012,16677,2856864
2016,4,New York City,Kings,Adult,OMH Intensive Outpatient Program,575532,0,0,0
2016,4,New York City,Kings,Adult,OMH Licensed Clinic Treatment,575532,40325,542580,69224321
2016,4,New York City,Kings,Adult,Partial Hospitalization,575532,260,2939,402796
2016,4,New York City,Kings,Adult,Personalized Recovery Oriented Services,575532,1211,8543,7617984
2016,4,New York City,Kings,Adult,Psych Inpatient 28,575532,6494,146995,104496097
2016,4,New York City,Kings,Adult,Psych Inpatient 31,575532,222,3558,2696232
2016,4,New York City,Kings,Adult,"Targeted Case Management (ICM, BCM, SCM)",575532,167,1521,1523822
2016,4,New York City,Kings,Child,Community Residence,469525,69,391,4707654
2016,4,New York City,Kings,Child,"Comprehensive Psychiatric Emergency Program
 EOB",469525,75,507,373350
2016,4,New York City,Kings,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",469525,1013,1508,1178515
2016,4,New York City,Kings,Child,Family Based Treatment/Teaching Family Home,469525,0,0,0
2016,4,New York City,Kings,Child,Home and Community Based Services Waiver (HCBS),469525,289,1878,5165338
2016,4,New York City,Kings,Child,MH Emergency,469525,3255,4634,797186
2016,4,New York City,Kings,Child,OMH Children's Day Treatment,469525,374,31916,4513227
2016,4,New York City,Kings,Child,OMH Licensed Clinic Treatment,469525,18616,235425,32651679
2016,4,New York City,Kings,Child,Partial Hospitalization,469525,48,899,143643
2016,4,New York City,Kings,Child,Psych Inpatient 28,469525,1193,19703,17925143
2016,4,New York City,Kings,Child,Psych Inpatient 31,469525,290,6386,4982900
2016,4,New York City,Kings,Child,Psych Inpatient SPC,469525,20,2433,3404370
2016,4,New York City,Kings,Child,Residential Treatment Facility,469525,37,4182,2247884
2016,4,New York City,Kings,Child,"Targeted Case Management (ICM, BCM, SCM)",469525,544,4089,2518094
2016,4,New York City,Kings,Senior,Assertive Community Treatment,148783,35,253,304687
2016,4,New York City,Kings,Senior,Community Residence,148783,29,252,753060
2016,4,New York City,Kings,Senior,"Comprehensive Psychiatric Emergency Program
 EOB",148783,0,0,0
2016,4,New York City,Kings,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",148783,67,118,95797
2016,4,New York City,Kings,Senior,Continuing Day Treatment,148783,52,6783,363121
2016,4,New York City,Kings,Senior,MH Emergency,148783,1052,1462,87237
2016,4,New York City,Kings,Senior,OMH Licensed Clinic Treatment,148783,4454,60991,5923765
2016,4,New York City,Kings,Senior,Partial Hospitalization,148783,0,0,0
2016,4,New York City,Kings,Senior,Personalized Recovery Oriented Services,148783,64,455,427048
2016,4,New York City,Kings,Senior,Psych Inpatient 28,148783,694,12539,4329991
2016,4,New York City,Kings,Senior,Psych Inpatient 31,148783,0,0,0
2016,4,New York City,Kings,Senior,Psych Inpatient SPC,148783,0,0,0
2016,4,New York City,Kings,Senior,"Targeted Case Management (ICM, BCM, SCM)",148783,0,0,0
2016,4,New York City,New York,Adult,Assertive Community Treatment,243550,820,6686,8895290
2016,4,New York City,New York,Adult,Community Residence,243550,718,6405,18696519
2016,4,New York City,New York,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",243550,226,1277,794429
2016,4,New York City,New York,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",243550,3294,6033,3972425
2016,4,New York City,New York,Adult,Continuing Day Treatment,243550,349,25895,1557493
2016,4,New York City,New York,Adult,Intensive Psychiatric Rehabilitation Treatment,243550,0,0,0
2016,4,New York City,New York,Adult,MH Emergency,243550,6871,12630,1978247
2016,4,New York City,New York,Adult,OMH Licensed Clinic Treatment,243550,29442,345784,43948474
2016,4,New York City,New York,Adult,Partial Hospitalization,243550,71,844,86976
2016,4,New York City,New York,Adult,Personalized Recovery Oriented Services,243550,908,6400,4936474
2016,4,New York City,New York,Adult,Psych Inpatient 28,243550,5110,116655,91783767
2016,4,New York City,New York,Adult,Psych Inpatient 31,243550,292,5427,4181095
2016,4,New York City,New York,Adult,"Targeted Case Management (ICM, BCM, SCM)",243550,142,1226,1240237
2016,4,New York City,New York,Child,Community Residence,125909,38,154,1695981
2016,4,New York City,New York,Child,"Comprehensive Psychiatric Emergency Program
 EOB",125909,23,133,56017
2016,4,New York City,New York,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",125909,473,682,459968
2016,4,New York City,New York,Child,Family Based Treatment/Teaching Family Home,125909,0,0,0
2016,4,New York City,New York,Child,Home and Community Based Services Waiver (HCBS),125909,234,1528,4533309
2016,4,New York City,New York,Child,MH Emergency,125909,2106,3147,562908
2016,4,New York City,New York,Child,OMH Children's Day Treatment,125909,231,18226,2590900
2016,4,New York City,New York,Child,OMH Licensed Clinic Treatment,125909,11747,132655,19394734
2016,4,New York City,New York,Child,Partial Hospitalization,125909,61,959,193232
2016,4,New York City,New York,Child,Psych Inpatient 28,125909,860,13767,13615894
2016,4,New York City,New York,Child,Psych Inpatient 31,125909,159,3035,2475912
2016,4,New York City,New York,Child,Psych Inpatient SPC,125909,0,0,0
2016,4,New York City,New York,Child,Residential Treatment Facility,125909,33,4257,2136618
2016,4,New York City,New York,Child,"Targeted Case Management (ICM, BCM, SCM)",125909,349,2621,1588892
2016,4,New York City,New York,Senior,Assertive Community Treatment,80167,87,681,954730
2016,4,New York City,New York,Senior,Community Residence,80167,47,388,1129422
2016,4,New York City,New York,Senior,"Comprehensive Psychiatric Emergency Program
 EOB",80167,0,0,0
2016,4,New York City,New York,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",80167,100,136,56004
2016,4,New York City,New York,Senior,Continuing Day Treatment,80167,40,4404,269587
2016,4,New York City,New York,Senior,MH Emergency,80167,629,877,60903
2016,4,New York City,New York,Senior,OMH Licensed Clinic Treatment,80167,3359,37910,3013388
2016,4,New York City,New York,Senior,Partial Hospitalization,80167,0,0,0
2016,4,New York City,New York,Senior,Personalized Recovery Oriented Services,80167,92,748,630032
2016,4,New York City,New York,Senior,Psych Inpatient 28,80167,515,9436,3277418
2016,4,New York City,New York,Senior,Psych Inpatient 31,80167,0,0,0
2016,4,New York City,New York,Senior,Psych Inpatient SPC,80167,0,0,0
2016,4,New York City,New York,Senior,"Targeted Case Management (ICM, BCM, SCM)",80167,0,0,0
2016,4,New York City,Queens,Adult,Assertive Community Treatment,475309,509,3717,4831181
2016,4,New York City,Queens,Adult,Community Residence,475309,658,5806,17474085
2016,4,New York City,Queens,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",475309,307,1445,940769
2016,4,New York City,Queens,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",475309,2474,4281,2943700
2016,4,New York City,Queens,Adult,Continuing Day Treatment,475309,402,40807,2253250
2016,4,New York City,Queens,Adult,Intensive Psychiatric Rehabilitation Treatment,475309,102,4191,366902
2016,4,New York City,Queens,Adult,MH Emergency,475309,7051,12514,2009582
2016,4,New York City,Queens,Adult,OMH Licensed Clinic Treatment,475309,26696,359875,40824427
2016,4,New York City,Queens,Adult,Partial Hospitalization,475309,205,2563,353917
2016,4,New York City,Queens,Adult,Personalized Recovery Oriented Services,475309,931,6257,5268753
2016,4,New York City,Queens,Adult,Psych Inpatient 28,475309,5069,108884,86070645
2016,4,New York City,Queens,Adult,Psych Inpatient 31,475309,169,2486,2121909
2016,4,New York City,Queens,Adult,"Targeted Case Management (ICM, BCM, SCM)",475309,258,2295,2330824
2016,4,New York City,Queens,Child,Community Residence,333805,34,153,1914245
2016,4,New York City,Queens,Child,"Comprehensive Psychiatric Emergency Program
 EOB",333805,30,85,41351
2016,4,New York City,Queens,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",333805,527,734,555600
2016,4,New York City,Queens,Child,Family Based Treatment/Teaching Family Home,333805,0,0,0
2016,4,New York City,Queens,Child,Home and Community Based Services Waiver (HCBS),333805,221,1229,3328205
2016,4,New York City,Queens,Child,MH Emergency,333805,2859,4096,751683
2016,4,New York City,Queens,Child,OMH Children's Day Treatment,333805,293,23465,4848512
2016,4,New York City,Queens,Child,OMH Licensed Clinic Treatment,333805,15249,171464,23330776
2016,4,New York City,Queens,Child,Partial Hospitalization,333805,39,551,93123
2016,4,New York City,Queens,Child,Psych Inpatient 28,333805,804,13070,12847370
2016,4,New York City,Queens,Child,Psych Inpatient 31,333805,223,3628,3057865
2016,4,New York City,Queens,Child,Psych Inpatient SPC,333805,25,2670,3661679
2016,4,New York City,Queens,Child,Residential Treatment Facility,333805,34,4330,2159370
2016,4,New York City,Queens,Child,"Targeted Case Management (ICM, BCM, SCM)",333805,282,1872,1157768
2016,4,New York City,Queens,Senior,Assertive Community Treatment,123561,32,223,294712
2016,4,New York City,Queens,Senior,Community Residence,123561,39,313,908605
2016,4,New York City,Queens,Senior,"Comprehensive Psychiatric Emergency Program
 EOB",123561,0,0,0
2016,4,New York City,Queens,Senior,"Comprehensive Psychiatric Emergency Program
Non-EOB",123561,94,151,51037
2016,4,New York City,Queens,Senior,Continuing Day Treatment,123561,73,10593,552242
2016,4,New York City,Queens,Senior,Intensive Psychiatric Rehabilitation Treatment,123561,0,0,0
2016,4,New York City,Queens,Senior,MH Emergency,123561,827,1322,78327
2016,4,New York City,Queens,Senior,OMH Licensed Clinic Treatment,123561,2930,44543,3662969
2016,4,New York City,Queens,Senior,Partial Hospitalization,123561,0,0,0
2016,4,New York City,Queens,Senior,Personalized Recovery Oriented Services,123561,42,261,227531
2016,4,New York City,Queens,Senior,Psych Inpatient 28,123561,624,16656,6850062
2016,4,New York City,Queens,Senior,Psych Inpatient 31,123561,23,465,193465
2016,4,New York City,Queens,Senior,Psych Inpatient SPC,123561,0,0,0
2016,4,New York City,Queens,Senior,"Targeted Case Management (ICM, BCM, SCM)",123561,0,0,0
2016,4,New York City,Richmond,Adult,Assertive Community Treatment,66514,106,839,905188
2016,4,New York City,Richmond,Adult,Community Residence,66514,147,1288,3903019
2016,4,New York City,Richmond,Adult,"Comprehensive Psychiatric Emergency Program
 EOB",66514,0,0,0
2016,4,New York City,Richmond,Adult,"Comprehensive Psychiatric Emergency Program
Non-EOB",66514,1231,2334,1781277
2016,4,New York City,Richmond,Adult,Continuing Day Treatment,66514,195,20116,999330
2016,4,New York City,Richmond,Adult,MH Emergency,66514,1453,2338,392884
2016,4,New York City,Richmond,Adult,OMH Licensed Clinic Treatment,66514,5073,61840,6800757
2016,4,New York City,Richmond,Adult,Partial Hospitalization,66514,96,737,114388
2016,4,New York City,Richmond,Adult,Personalized Recovery Oriented Services,66514,42,199,156508
2016,4,New York City,Richmond,Adult,Psych Inpatient 28,66514,1027,20713,13638797
2016,4,New York City,Richmond,Adult,Psych Inpatient 31,66514,0,0,0
2016,4,New York City,Richmond,Adult,"Targeted Case Management (ICM, BCM, SCM)",66514,30,200,200557
2016,4,New York City,Richmond,Child,Community Residence,51876,0,0,0
2016,4,New York City,Richmond,Child,"Comprehensive Psychiatric Emergency Program
 EOB",51876,0,0,0
2016,4,New York City,Richmond,Child,"Comprehensive Psychiatric Emergency Program
Non-EOB",51876,456,792,725389
2016,4,New York City,Richmond,Child,Home and Community Based Services Waiver (HCBS),51876,62,318,800309
2016,4,New York City,Richmond,Child,MH Emergency,51876,391,530,94434
2016,4,New York City,Richmond,Child,OMH Children's Day Treatment,51876,190,21327,2386664
2016,4,New York City,Richmond,Child,OMH Intensive Outpatient Program,51876,0,0,0
2016,4,New York City,Richmond,Child,OMH Licensed Clinic Treatment,51876,2141,25377,3526399
